Author,Recommender,Title,category,google_id,pages,publication_date
Erin Lee Carr,Judd Apatow,All That You Leave Behind,['Fiction'],pgvqsaYvgacC,240.0,2013-09-03
Anthony Doerr,Barack Obama,All the Light We Cannot See,['Biography & Autobiography'],D2bRDwAAQBAJ,256.0,2020-03-17
P. J. O'Rourke,Eric Weinstein,All the Trouble in the World,['Fiction'],_AZ_AwAAQBAJ,531.0,2014-05-06
Richard K. Morgan,Zooko Wilcox,Altered Carbon,['Social Science'],Ouyr7shT8tsC,340.0,2007-12-01
Charles T. Tart,Paul Stamets,Altered States of Consciousness,['Fiction'],xXp3MCvqeNIC,526.0,2006
Daniel Goleman,Peter Attia,Altered Traits,['Altered states of consciousness'],Srw9_fcbsXMC,575.0,1969
Marcella Hazan,Samin Nosrat,Amarcord,"['Body, Mind & Spirit']",07svDwAAQBAJ,336.0,2017
Jon Stewart,Donald Knuth,America,['Biography & Autobiography'],m65uKB4duUAC,320.0,2008-10-07
Steven Rinella,Joe Rogan,American Buffalo,['Humor'],eSycAAAAQBAJ,256.0,2014-02-25
Jeanine Cummins,Oprah Winfrey,American Dirt,['Nature'],b5rmuZb1JPAC,288.0,2008-12-02
Henry A. Kissinger,Noam Chomsky,American Foreign Policy,,51YXwQEACAAJ,400.0,2020-01-21
Jeffrey Toobin,Anderson Cooper,American Heiress,['POLITICAL SCIENCE'],Z-HtAAAAMAAJ,445.0,1977
Nick Bilton,Casey Neistat,American Kingpin,['Biography & Autobiography'],FPS7DgAAQBAJ,480.0,2017
Jon Meacham,Mark Zuckerberg,American Lion,['Biography & Autobiography'],GoSVDgAAQBAJ,329.0,2017
Colin Woodard,Jack Dorsey,American Nations,['Biography & Autobiography'],Ru6O7-Pc_NMC,483.0,2009
Shane Bauer,Barack Obama,American Prison,['History'],Sb40EosBr90C,384.0,2011-09-29
Kai Bird,David Blaine,American Prometheus,['Political Science'],V1qYDwAAQBAJ,368.0,2019-06-11
Lauren Wilkinson,Barack Obama,American Spy,['Biography & Autobiography'],jfSn2RJZI9EC,784.0,2007-12-18
Chimamanda Ngozi Adichie,Barack Obama,Americanah,,B2bRDwAAQBAJ,320.0,2020-03-17
Neil Postman,Patrick Collison | Keith Rabois | Matt Mullenweg | Tristan Harris,Amusing Ourselves to Death,['Fiction'],siSlP9JOj2YC,272.0,2013-05-14
Tayari Jones,Bill Gates | Barack Obama | Oprah Winfrey | Michelle Obama,An American Marriage,['Social Science'],zGkhbPEjkRoC,184.0,2006
Elisabeth Rosenthal,John Legend,An American Sickness,['Fiction'],fc8PDgAAQBAJ,336.0,2018-02-06
Oliver Sacks,Jordan Peterson,An Anthropologist On Mars,['Business & Economics'],I_9MDwAAQBAJ,432.0,2018-03-13
Nicholas Barbon,Marc Andreessen,An Apology for the Builder,['Psychology'],9HQIHnREqhkC,336.0,2012-11-14
Theodore Roosevelt,Brandon Stanton,An Autobiography by Theodore Roosevelt,['Building'],GGffmgEACAAJ,37.0,1685
Anthony Trollope,Paul Graham,An Autobiography of Anthony Trollope,,Io4fAAAAIAAJ,597.0,1913
Matt Richtel,Keith Rabois | Vinod Khosla,An Elegant Defense,['Literary Criticism'],lGuM0S2l_d8C,312.0,1947-01-01
K Moriyasu,Eric Weinstein,An Elementary Primer For Gauge Theory,['Science'],pLRnDwAAQBAJ,448.0,2019-03-12
Robert Kegan,Ray Dalio,An Everyone Culture,['Technology & Engineering'],mzL1yGxTEQwC,177.0,1983
Al Gore,Richard Branson,An Inconvenient Truth,['Business & Economics'],pT1BCgAAQBAJ,336.0,2016-03-01
Iain Pears,Donald Knuth,An Instance of the Fingerpost,['Science'],93M6C24ac9MC,325.0,2006-05-24
Sigmund Freud,Jordan Peterson,An Outline of Psycho-Analysis,['Fiction'],ZJnZCREJorAC,752.0,1999-03-01
Yvonne Choquet-Bruhat,Eric Weinstein,"Analysis, Manifolds and Physics, Part 1",['Psychology'],OwXZMEVr5dgC,75.0,1969
Rudolf Rocker,Noam Chomsky,Anarcho-Syndicalism,['Mathematics'],hUWEXphqLo8C,630.0,1982
Joseph Frazier Wall,Charlie Munger,Andrew Carnegie,['Philosophy'],dblzAdMMtX0C,116.0,2004
Richard S. Tedlow,Keith Rabois,Andy Grove,['Biography & Autobiography'],5g5EDwAAQBAJ,1137.0,1970
